id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
113,Rugby,41-43 : Construction,"Cox, Wells, Brown, Wright, Fry",0-632k,1,United Kingdom,0,14.88088131,12.55486875,E07000220,Rugby,0.989683828,0,,41-43,F,Construction,Office
114,Wealden,05-39 : Production,"Johnson, Ryan, Davies, Hussain-Wood, Carr-Taylor",632k-10.2M,1,United Kingdom,3.148967637,8.718113726,5.256287855,E07000065,Wealden,7.537938701,0.085590766,,May-39,C,Production,Factory
115,Hackney,58-63 : Information & communication,"Bray-Parker, Henry, Sharp-Smith, Fletcher Miller, Wright, Herbert",0-632k,1,United Kingdom,0,12.74285216,9.097576062,E09000012,Hackney,0.079433762,0.01604735,,58-63,J,Information & communication,Factory
116,Causeway Coast and Glens,86-88 : Health,"Bond, Fry, Waters, Webb, Davies",0-632k,1,United Kingdom,,,,N09000004,Causeway Coast and Glens,,,,86-88,Q,Health,Factory
117,Winchester,86-88 : Health,"Thompson-Vaughan, Smith, Bell, Marsh, Douglas, Lyons, Parker",0-632k,1,United Kingdom,0,6.00583739,3.231209133,E07000094,Winchester,0.767467569,0,,86-88,Q,Health,Office
118,Runnymede,41-43 : Construction,"Hawkins-Fuller, Chapman, Jones, Roberts, Powell, Jones, Davies",0-632k,1,United Kingdom,0,4.546686191,5.523331079,E07000212,Runnymede,0.287427497,0,,41-43,F,Construction,Shop
119,Warrington,77-82 : Business administration & support services,"Thornton, Smith, Hicks, Wyatt, Coleman-Anderson",0-632k,1,United Kingdom,0,3.724230718,6.789864755,E06000007,Warrington,0.256768384,0,,77-82,N,Business administration & support services,Shop
120,Shropshire,"01-03 : Agriculture, forestry & fishing","Austin, Evans, Brookes, Saunders, Fisher, Lawrence, Gardner",0-632k,1,United Kingdom,2.07E-08,9.646982618,10.07623379,E06000051,Shropshire,0.076371836,0.026824681,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
121,Eastleigh,47 : Retail,"Clarke, Andrews, Walton, Williams, Miller",0-632k,1,United Kingdom,0,14.43754648,8.512947848,E07000086,Eastleigh,1.950350017,0.421319256,,47,G,Retail,Warehouse
122,Kirklees,86-88 : Health,"Hicks-Johnson, Taylor-Faulkner, Taylor-Ross, Ellis, Clarke",0-632k,1,United Kingdom,0.040337544,11.61906604,19.71236765,E08000034,Kirklees,2.145481821,0.022396307,,86-88,Q,Health,Factory
123,"Bristol, City of",41-43 : Construction,"Thomas, Ahmed, Sanders, Taylor-Foster, Anderson, Hill, Evans",0-632k,1,United Kingdom,0,10.53003835,9.421393062,E06000023,"Bristol, City of",0.990403604,0.697401766,,41-43,F,Construction,Warehouse
124,North Lanarkshire,55-56 : Accommodation & food services,"Murray-Harvey, Rees, Thompson, Jones, Holt-Brown",0-632k,1,United Kingdom,,,,S12000044,North Lanarkshire,,,,55-56,I,Accommodation & food services,Warehouse
125,Scarborough,58-63 : Information & communication,"Davidson, Wilson, Murphy, Collins, Rahman, Davidson, Shaw",0-632k,1,United Kingdom,0,1.663037309,2.645448195,E07000168,Scarborough,0.026199884,0,,58-63,J,Information & communication,Shop
126,Bradford,"69-75 : Professional, scientific & technical","Moore, Green, Harrison, Ferguson, Quinn",0-632k,0,United Kingdom,0,6.610186274,12.30009671,E08000032,Bradford,0.532406061,0.054249461,,69-75,M,"Professional, scientific & technical",Warehouse
127,Wandsworth,"69-75 : Professional, scientific & technical","Griffiths, Macdonald, Brown, Bailey, Smith, Butler, Wilson",0-632k,1,United Kingdom,0,28.42932841,31.00455739,E09000032,Wandsworth,0.145046634,0.012198383,,69-75,M,"Professional, scientific & technical",Other
128,Hackney,77-82 : Business administration & support services,"Cole, Morgan-Ross, Griffin, Farmer, Shepherd, Richardson, Thomas",0-632k,1,United Kingdom,0,2.85349089,1.967442548,E09000012,Hackney,0.075836417,0,,77-82,N,Business administration & support services,Office
129,Hackney,"69-75 : Professional, scientific & technical","Bates, Brown, Preston, Edwards, Smith, Ward, Collins",0-632k,1,United Kingdom,0,1.561808892,1.514371888,E09000012,Hackney,0.076534722,0,,69-75,M,"Professional, scientific & technical",Shop
130,Dorset,05-39 : Production,"Sutton, Barnett, Baxter, Kay-Robson, Field-Griffin",0-632k,0,United Kingdom,0,16.06664844,8.190075896,E10000009,Dorset,3.938506827,0.017582413,,May-39,C,Production,Other
131,Dudley,47 : Retail,"Burrows, Booth, Davies, Smith-Giles, Hill",632k-10.2M,1,United Kingdom,0,10.02796229,9.475885616,E08000027,Dudley,1.827660025,0,,47,G,Retail,Office
132,Havering,05-39 : Production,"Freeman, Lawrence, Spencer, Carr, Butcher",0-632k,1,United Kingdom,0,1.768616232,1.068292346,E09000016,Havering,2.017566309,0,,May-39,C,Production,Shop
133,Buckinghamshire,41-43 : Construction,"Jones, Robinson, Perry, Begum-Turner, Williams-Brown",0-632k,1,United Kingdom,0,8.828681175,8.907344093,E10000002,Buckinghamshire,0.655545972,0.565868605,,41-43,F,Construction,Warehouse
134,Kirklees,64-66 : Finance & insurance,"Thorpe, Booth, Gough-Kirby, Smith, Gordon, Bennett, Collins",0-632k,1,United Kingdom,0,6.773048636,11.35842241,E08000034,Kirklees,0.08421384,0.00464979,,64-66,K,Finance & insurance,Warehouse
135,Liverpool,45 : Motor trades,"Jones, Lloyd, Campbell, Wilkinson, Donnelly",0-632k,1,United Kingdom,0,5.664734123,7.541779752,E08000012,Liverpool,0.406313208,0,,45,G,Motor trades,Office
136,Trafford,77-82 : Business administration & support services,"Morris, Harris, Marshall, Watkins-Butler, Jackson, May, Hyde",0-632k,1,United Kingdom,0,73.71265611,140.5845134,E08000009,Trafford,0.36407279,0.124918109,,77-82,N,Business administration & support services,Other
137,North Somerset,"69-75 : Professional, scientific & technical","Young-Saunders, Brookes-Parkin, Green, Brown, Lewis",0-632k,1,United Kingdom,0,5.548689746,7.763500337,E06000024,North Somerset,0.378708776,0,,69-75,M,"Professional, scientific & technical",Office
138,Darlington,86-88 : Health,"Turner, Holloway-Marshall, Lloyd, Heath, Clarke-Jones",632k-10.2M,1,United Kingdom,0,18.31657142,35.40651875,E06000005,Darlington,1.166037556,0.007206039,,86-88,Q,Health,Other
139,City of Edinburgh,86-88 : Health,"Hancock-Lamb, Woods, Turner, Bradley, Burns-Clements",0-632k,1,United Kingdom,,,,S12000036,City of Edinburgh,,,,86-88,Q,Health,Factory
140,East Hertfordshire,41-43 : Construction,"Bishop-Kelly, Hodgson-Yates, Rose, Morris, Turner",632k-10.2M,1,United Kingdom,0,2.277016962,2.654306357,E07000242,East Hertfordshire,0.22722467,0,,41-43,F,Construction,Shop
141,Cornwall,85 : Education,"Jackson, Hunt, Nelson, Houghton-Ross, Atkinson-Taylor",0-632k,1,United Kingdom,0,2.332047916,1.794725202,E06000052,Cornwall,0.289016945,0,,85,P,Education,Shop
142,Harrow,41-43 : Construction,"Ward-Willis, Bennett-Marshall, Cox-Houghton, Moore, Gill-Matthews",0-632k,1,United Kingdom,0,11.55531366,15.6669687,E09000015,Harrow,0.921822436,0.489837195,,41-43,F,Construction,Warehouse
143,Gravesham,49-53 : Transport & Storage (inc. postal),"Glover, Barber, Roberts, McCarthy, Harris, Ali, Kirby",0-632k,1,United Kingdom,0,4.135806886,4.165465756,E07000109,Gravesham,0.069202112,0,,49-53,H,Transport & Storage (inc. postal),Shop
144,South Northamptonshire,47 : Retail,"Young, Fox, Hicks, Mellor, Ross, Parry, Evans",0-632k,1,United Kingdom,0,4.157060605,3.181944939,E07000155,South Northamptonshire,0.674717231,0,,47,G,Retail,Office
145,"Bristol, City of","69-75 : Professional, scientific & technical","McKenzie, Kaur, Thompson, Parsons, Hunter, Lloyd, Thompson",0-632k,1,United Kingdom,0,13.76460385,8.378435892,E06000023,"Bristol, City of",0.746744197,0.070854886,,69-75,M,"Professional, scientific & technical",Warehouse
146,Calderdale,68 : Property,"Dawson-Taylor, Bull, Macdonald, Barker, Nicholson, Wood, Russell",0-632k,1,United Kingdom,0,4.439228918,6.343753323,E08000033,Calderdale,0.303013314,0,,68,L,Property,Office
147,Southwark,"69-75 : Professional, scientific & technical","Bowen, Brooks, Davies, Day, Patel-Richards",0-632k,0,United Kingdom,0,50.04984913,50.24054399,E09000028,Southwark,0.249423618,0.015969022,,69-75,M,"Professional, scientific & technical",Other
148,Renfrewshire,64-66 : Finance & insurance,"Cooke-Jones, Edwards-Hodgson, Patterson-Ward, Mann, Jones",0-632k,1,United Kingdom,,,,S12000038,Renfrewshire,,,,64-66,K,Finance & insurance,Shop
149,Chichester,"01-03 : Agriculture, forestry & fishing","Garner-Edwards, Thomas, Davies-Hussain, O'Sullivan Tomlinson-Marshall",0-632k,1,United Kingdom,0,19.67472944,26.79113713,E07000225,Chichester,0.034629813,0.003231185,,01-Mar,A,"Agriculture, forestry & fishing",Other
150,Allerdale,49-53 : Transport & Storage (inc. postal),"Byrne, Hawkins, Roberts, Pearson, Murphy-Bell",0-632k,1,United Kingdom,0.024202116,10.67367468,27.55999748,E07000026,Allerdale,0.419787439,1.196523895,,49-53,H,Transport & Storage (inc. postal),Warehouse
151,Norwich,47 : Retail,"Oliver, Nelson-Jones, Roberts, Smith, Elliott, Booth, Fuller",0-632k,0,United Kingdom,0,1.874004046,2.931097425,E07000148,Norwich,0.381077799,0,,47,G,Retail,Shop
152,Ealing,58-63 : Information & communication,"Wood, Short, Chandler, Thompson, Richardson, Lee, Hayward",0-632k,1,United Kingdom,0,6.715971842,6.849679019,E09000009,Ealing,0.147496005,0,,58-63,J,Information & communication,Office
153,Birmingham,55-56 : Accommodation & food services,"Thomas, Smith, Hart, O'Neill, Wright",0-632k,1,United Kingdom,0,23.36465455,38.504844,E08000025,Birmingham,0.843576788,0.010126838,,55-56,I,Accommodation & food services,Other
154,Richmond upon Thames,"69-75 : Professional, scientific & technical","Phillips-Hayward, Smith-Hall, Williams-Walker, Butler Sheppard",0-632k,1,United Kingdom,0,3.867293235,3.017166096,E09000027,Richmond upon Thames,0.115277366,0,,69-75,M,"Professional, scientific & technical",Office
155,Hart,77-82 : Business administration & support services,"Ali, Davies, Doherty, White, Parker, Sinclair, Evans",0-632k,1,United Kingdom,0,31.92289304,17.31786621,E07000089,Hart,0.164741954,0.028808582,,77-82,N,Business administration & support services,Other
156,Ashford,58-63 : Information & communication,"Carpenter-Woods, Ahmed, Robertson, Wilson-Parsons Ahmed, Harris, Allen",0-632k,1,United Kingdom,0,15.84278452,14.59891081,E07000105,Ashford,0.21872479,0.168094085,,58-63,J,Information & communication,Factory
157,Buckinghamshire,47 : Retail,"Wright, Turner-Pratt, Hartley, Brown Roberts, O'Brien, Armstrong",0-632k,1,United Kingdom,0,2.720192753,2.538202035,E10000002,Buckinghamshire,0.50952117,0,,47,G,Retail,Shop
158,Braintree,05-39 : Production,"Fox, Abbott, Houghton, Dean, Robinson",632k-10.2M,1,United Kingdom,6.668365039,10.56573139,7.240038196,E07000067,Braintree,23.68201864,0.009415376,,May-39,D,Production,Factory
159,Ealing,77-82 : Business administration & support services,"Harrison, Morgan, Frost, Skinner, Ahmed, Harrison, Jackson",0-632k,1,United Kingdom,0,10.04776633,7.906759573,E09000009,Ealing,0.358252221,0.167345194,,77-82,N,Business administration & support services,Warehouse
160,Stoke-on-Trent,49-53 : Transport & Storage (inc. postal),"Allen, Newton, Williams, O'Sullivan, Bradley-Hussain",0-632k,1,United Kingdom,0,7.034270436,27.26869314,E06000021,Stoke-on-Trent,0.30840956,0,,49-53,H,Transport & Storage (inc. postal),Office
161,Chichester,55-56 : Accommodation & food services,"Davey, Sims, Hudson, Walker, Morton",0-632k,1,United Kingdom,0,20.81489551,28.926633,E07000225,Chichester,0.483155399,0.006542557,,55-56,I,Accommodation & food services,Other
162,South Cambridgeshire,"69-75 : Professional, scientific & technical","Lane, Hughes, Pritchard, Thomas, Ellis-Graham",632k-10.2M,1,United Kingdom,0,11.90141053,7.203958045,E07000012,South Cambridgeshire,0.665212968,0,,69-75,M,"Professional, scientific & technical",Shop
163,Wiltshire,"69-75 : Professional, scientific & technical","Ryan-Barton, Anderson, Mellor-Webb, Smith Wood",0-632k,1,United Kingdom,0,10.56585463,10.16551211,E06000054,Wiltshire,0.416604919,0.040842329,,69-75,M,"Professional, scientific & technical",Warehouse
164,Hammersmith and Fulham,55-56 : Accommodation & food services,"Winter-Harris, Clark-Taylor, Thompson, Davies, Stevens",0-632k,1,United Kingdom,0,2.342671376,1.959644769,E09000013,Hammersmith and Fulham,0.248451829,0,,55-56,I,Accommodation & food services,Shop
165,Rotherham,41-43 : Construction,"Chambers, Johnson, Shaw, Baker, Davies-Hill",0-632k,1,United Kingdom,0,3.296430921,5.595365422,E08000018,Rotherham,0.375995068,0,,41-43,F,Construction,Shop
166,Westminster,41-43 : Construction,"French, Archer, Jones, Davies, Jones-Fisher",0-632k,1,United Kingdom,0,2.525304167,2.254772699,E09000033,Westminster,0.083543725,0,,41-43,F,Construction,Office
167,Lisburn and Castlereagh,41-43 : Construction,"Andrews-Bond, Burns, Hughes-Fox, Marsden-Freeman Barker-Duncan",0-632k,1,United Kingdom,,,,N09000007,Lisburn and Castlereagh,,,,41-43,F,Construction,Other
168,Hertsmere,41-43 : Construction,"Smith-Griffiths, Mann, Lawson, Short, Lord",632k-10.2M,1,United Kingdom,0,4.369323431,3.61427611,E07000098,Hertsmere,0.254610321,0,,41-43,F,Construction,Shop
169,Portsmouth,64-66 : Finance & insurance,"Hudson, Lynch, Hodgson, Simmons, Holmes-Butler",0-632k,1,United Kingdom,0,48.34240165,31.38877837,E06000044,Portsmouth,0.029157708,0.001769332,,64-66,K,Finance & insurance,Other
170,Swindon,41-43 : Construction,"Smith, Smith, Watkins, Fletcher, Collins, Palmer, Cameron",0-632k,1,United Kingdom,0,5.090560563,3.803433053,E06000030,Swindon,0.409515611,0,,41-43,F,Construction,Shop
171,South Holland,"01-03 : Agriculture, forestry & fishing","Long, Davies, Dixon, Smith, Wright, Jones, Briggs",0-632k,1,United Kingdom,0,4.800499018,3.272914062,E07000140,South Holland,0.043423329,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
172,Tower Hamlets,47 : Retail,"James, Lewis, Wilkinson, Jones, Bryant",0-632k,1,United Kingdom,0,47.44269457,19.61852137,E09000030,Tower Hamlets,1.200288369,0.413410686,,47,G,Retail,Factory
173,Haringey,"69-75 : Professional, scientific & technical","Jordan-King, Harrison, Singh-Young, Baldwin, Watkins-Brooks",0-632k,1,United Kingdom,0,1.275036673,1.48559651,E09000014,Haringey,0.058143284,0,,69-75,M,"Professional, scientific & technical",Shop
174,Sheffield,77-82 : Business administration & support services,"Ferguson, Douglas, Coleman, Turner-Carter, Hopkins-Hussain",0-632k,1,United Kingdom,0,21.04825344,26.88313609,E08000019,Sheffield,0.637246442,0.179157057,,77-82,N,Business administration & support services,Factory
175,Mid Ulster,41-43 : Construction,"Phillips-Walsh, Harper-Phillips, Ahmed-Newman, Norman Hamilton, Lewis, Allen",0-632k,1,United Kingdom,,,,N09000009,Mid Ulster,,,,41-43,F,Construction,Other
176,"Herefordshire, County of","01-03 : Agriculture, forestry & fishing","Kirk-Simpson, Roberts-Wright, Brennan, Clarke, Sanderson-O'Donnell",0-632k,0,United Kingdom,1.98E-08,14.53123019,16.02883741,E06000019,"Herefordshire, County of",0.079314827,0.016342731,,01-Mar,A,"Agriculture, forestry & fishing",Factory
177,Thurrock,41-43 : Construction,"Forster, Smith, Smith, Morgan-Watts Cooper",632k-10.2M,1,United Kingdom,0,6.470387584,5.462439558,E06000034,Thurrock,0.677138363,0,,41-43,F,Construction,Shop
178,Winchester,41-43 : Construction,"Dunn-Jackson, Morris, Morris, Singh, Hughes, Clark, Francis",0-632k,1,United Kingdom,0,18.07792086,11.0741671,E07000094,Winchester,0.484537246,0.841861365,,41-43,F,Construction,Factory
179,Wigan,"69-75 : Professional, scientific & technical","Steele, Robinson, Brown, Dale, Clark",0-632k,1,United Kingdom,0,28.20744987,40.40705206,E08000010,Wigan,0.32076829,0.026983155,,69-75,M,"Professional, scientific & technical",Other
180,Waverley,05-39 : Production,"Parry-Davies, Smith, Taylor, Smith, Ali",0-632k,1,United Kingdom,0,1.819693988,1.95867031,E07000216,Waverley,2.617517325,0,,May-39,C,Production,Shop
181,Hammersmith and Fulham,"90-99 : Arts, entertainment, recreation & other","Fox, Wilson, Begum, Kemp, Roberts, Cross, Blackburn",0-632k,1,United Kingdom,0,38.09051619,34.99563033,E09000013,Hammersmith and Fulham,0.679997755,0.016885032,,90-99,S,"Arts, entertainment, recreation & other",Warehouse
182,Wandsworth,58-63 : Information & communication,"Farrell-Edwards, Robinson-Payne, James, Butler Gordon",0-632k,1,United Kingdom,0,1.726493168,1.753629519,E09000032,Wandsworth,0.018209389,0,,58-63,J,Information & communication,Shop
183,North Warwickshire,68 : Property,"Morris, Jenkins, Hall, Bartlett-Smith, Robinson-Reed",0-632k,1,United Kingdom,0,41.04744169,35.67129763,E07000218,North Warwickshire,1.062537364,0.178235033,,68,L,Property,Factory
184,Stroud,55-56 : Accommodation & food services,"Briggs, Thompson-Naylor, Sharpe, Watson, Khan",0-632k,1,United Kingdom,0,4.07947629,3.372394286,E07000082,Stroud,0.611576975,0,,55-56,I,Accommodation & food services,Shop
185,East Riding of Yorkshire,"90-99 : Arts, entertainment, recreation & other","Hewitt-Barber, Smith-Smith, Armstrong, Williams, Holloway-Allen",0-632k,1,United Kingdom,0,10.09526414,14.71640114,E06000011,East Riding of Yorkshire,0,0,,90-99,T,"Arts, entertainment, recreation & other",Office
186,Camden,47 : Retail,"Edwards, Smith-Mitchell, Reynolds-Smith, Ball Metcalfe, Bennett, Hunter",0-632k,1,United Kingdom,0,92.53293761,136.1275228,E09000007,Camden,0.465365951,0.071935391,,47,G,Retail,Other
187,Waltham Forest,05-39 : Production,"Hayes, Burke-Foster, Turnbull-Richardson, Mellor-Walters Lewis-McKenzie",0-632k,1,United Kingdom,3.839643471,7.782313958,7.275910579,E09000031,Waltham Forest,8.563332533,0.062176394,,May-39,C,Production,Warehouse
188,"Bristol, City of",41-43 : Construction,"Jones, Chapman, Chapman, Sheppard, Mason-Smith",0-632k,1,United Kingdom,0,3.990081919,3.344132534,E06000023,"Bristol, City of",0.381315945,0,,41-43,F,Construction,Office
189,County Durham,"01-03 : Agriculture, forestry & fishing","Brown-Sheppard, Brennan, Smith, Doyle, Price, Patel, Sinclair",0-632k,1,United Kingdom,0,8.242039044,9.073940472,E06000047,County Durham,0.10996871,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
190,Sheffield,"90-99 : Arts, entertainment, recreation & other","Wallis, Lewis, Ali, Thornton, Mistry-Harrison",0-632k,1,United Kingdom,0,22.13864337,26.55998023,E08000019,Sheffield,0.124826378,0.005126801,,90-99,R,"Arts, entertainment, recreation & other",Other
191,East Hertfordshire,47 : Retail,"Shaw, Lamb-Singh, Brown, Ball, Parker-Shaw",0-632k,1,United Kingdom,0,3.68644767,4.434030325,E07000242,East Hertfordshire,0.55745769,0,,47,G,Retail,Office
192,Redbridge,58-63 : Information & communication,"Dunn, Murray, Connor, Hughes-Smith, Turner-Smith",0-632k,1,United Kingdom,0,36.89257998,35.45048732,E09000026,Redbridge,0.057604385,0.005982056,,58-63,J,Information & communication,Other
